File Name,Top Left,Top Right,Bottom Right,Bottom Left,Has Text
picture2-4-11.png,"(332, 756)","(400, 756)","(401, 825)","(332, 825)",1
picture2-4-12.png,"(332, 825)","(401, 825)","(401, 894)","(332, 895)",1
picture2-4-13.png,"(332, 895)","(401, 894)","(402, 965)","(332, 966)",1
picture2-4-14.png,"(332, 966)","(402, 965)","(400, 1037)","(331, 1039)",0
picture2-4-15.png,"(331, 1039)","(400, 1037)","(402, 1111)","(331, 1112)",0
picture2-4-16.png,"(331, 1112)","(402, 1111)","(403, 1184)","(330, 1185)",0
picture2-4-17.png,"(330, 1185)","(403, 1184)","(403, 1258)","(331, 1258)",0
picture2-4-18.png,"(331, 1258)","(403, 1258)","(404, 1330)","(333, 1331)",0
picture2-5-0.png,"(396, 29)","(458, 29)","(462, 93)","(395, 93)",0
picture2-5-1.png,"(395, 93)","(462, 93)","(462, 158)","(396, 158)",1
picture2-5-2.png,"(396, 158)","(462, 158)","(463, 223)","(396, 223)",1
picture2-5-3.png,"(396, 223)","(463, 223)","(464, 288)","(397, 289)",1
picture2-5-4.png,"(397, 289)","(464, 288)","(465, 354)","(398, 355)",1
picture2-5-5.png,"(398, 355)","(465, 354)","(466, 420)","(398, 421)",1
picture2-5-6.png,"(398, 421)","(466, 420)","(466, 485)","(398, 486)",1
